id,category,url,name,description,price,dimensions,materials
563310C00,bracelets,https://us.pandora.net/en/bracelets/bangles/organically-shaped-open-bangle/563310C00.html,Organically Shaped Open Bangle,"The Organically Shaped Open Bangle is a modern style essential. This 14k gold-plated bangle features a wavy profile that varies in thickness. Inspired by the natural lines and curves found in nature, this modern piece is",$165.00,"3.2mm deep, 6mm high",['14k gold plating']
553221C01,bracelets,https://us.pandora.net/en/bracelets/lab-grown-diamond-bracelets/pandora-infinite-14k-gold-lab-grown-diamond-bangle/553221C01.html,Pandora Infinite 14k Gold Lab-grown Diamond Bangle,"Celebrate your power to shine with this Pandora Infinite 14k Gold Lab-Grown Diamond Bangle, hand-set with a radiant 0.50 carat lab-grown diamond. The round, excellent cut lab-grown diamond floats inside our unique infini","$1,948.00","4.2mm deep, 7.2mm high, 10mm wide","['Lab-grown diamond', '14k gold']"
589662C00,bracelets,https://us.pandora.net/en/bracelets/chain-bracelets/pandora-me-small-link-chain-bracelet/589662C00.html,Pandora ME Small-Link Chain Bracelet,Link what you love like never before. Our 14k rose gold-plated Pandora ME Small-Link Chain Bracelet holds endless styling possibilities. The design features two openable links - designed with grooved surfaces to set them,$200.00,6mm high,['14k rose gold plating']
589493C00,bracelets,https://us.pandora.net/en/bracelets/bangles/pandora-signature-i-d-open-bangle/589493C00.html,Pandora Signature I-D Open Bangle,"Streamline your look with the Pandora Signature I-D Bangle. With a half-squared, half-rounded profile, this 14k rose gold-plated bangle is hand-finished. The round polished profile transitions to a larger squared profile",$140.00,"3.3mm deep, 3.3mm high",['14k rose gold plating']
549588C00,bracelets,https://us.pandora.net/en/bracelets/link-bracelets/pandora-me-medium-link-chain-bracelet/549588C00.html,Pandora ME Medium-Link Chain Bracelet,"Wear your mantra on your wrist. Our ruthenium-plated Pandora ME Medium-Link Chain Bracelet holds endless styling possibilities. The bracelet features three openable links, designed with a grooved surface to set them apar",$87.50,8.6mm high,['Ruthenium plating']
592065C01,bracelets,https://us.pandora.net/en/bracelets/lab-grown-diamond-bracelets/pandora-infinite-sterling-silver-lab-grown-diamond-bangle/592065C01.html,Pandora Infinite Sterling Silver Lab-grown Diamond Bangle,"Celebrate your power to shine with this sterling silver bangle, hand-set with a radiant 0.15 carat lab-grown diamond. The round brilliant excellent cut lab-grown diamond floats inside our unique infinity motif, which flo",$488.00,"3.7mm deep, 5.5mm high, 10mm wide","['Lab-grown diamond', 'Sterling silver']"
592340C00,bracelets,https://us.pandora.net/en/bracelets/link-bracelets/pandora-me-xs-link-chain-bracelet/592340C00.html,Pandora ME XS-Link Chain Bracelet,"Link what you love like never before. Our sterling silver Pandora ME XS-Link Chain Bracelet holds endless styling possibilities, with more dimensions of links than ever before. The design features two larger openable lin",$70.00,"2.2mm deep, 8.6mm high, 16.6mm wide",['Sterling silver']
PSA2671,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/elevated-tiana-charm-bracelet-set/PSA2671.html,Elevated Tiana Charm Bracelet Set,"Bloom where you are, like Disney’s Tiana. This Disney Princess set pairs a sterling silver storybook snake chain bracelet with Tiana’s lotus flower charm, finished with lab-grown diamonds and gold-plated accents.",$465.00,,
554149C01,bracelets,https://us.pandora.net/en/bracelets/lab-grown-diamond-bracelets/pandora-infinite-lab-grown-diamond-pave-double-row-bangle/554149C01.html,Pandora Infinite Lab-grown Diamond Pavé Double Row Bangle,"Crafted in 14k gold and set with lab-grown diamonds in a pavé design, a unique interpreation of the infinity symbol, this piece reflects modern style with a touch of elegance and sophistication.","$1,948.00","3.2mm deep, 7.3mm high, 9.2mm wide","['Lab-Grown Diamond', '14k gold']"
PSA2643,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/gold-plated-heart-cuban-chain-bracelet-ring-set/PSA2643.html,Gold Plated Heart Cuban Chain Bracelet & Ring Set,"Bold links, big heart. This 14k gold-plated set combines our Cuban chain ring with a matching bracelet, each accented with a bezel-set heart-shaped stone. The perfect blend of romance and effortless edge.",$303.00,,
PSA2651,collections,https://us.pandora.net/en/collections/bridgerton-and-pandora/bridgerton-friendship-tennis-bracelet-duo/PSA2651.html,Bridgerton Friendship Tennis Bracelet Duo,"Friends always find an occasion to shine. This Bridgerton-inspired set pairs a gold-plated butterfly tennis bracelet with a sterling silver bee tennis bracelet. The perfect set to share, match and swoon over.",$420.00,,
563867C00,bracelets,https://us.pandora.net/en/bracelets/bangles/organically-shaped-wired-open-bangle/563867C00.html,Organically Shaped Wired Open Bangle,"Unleash your creativity with a bangle that celebrates imperfection and simplicity, allowing you to express your true personality.",$297.50,"13.2mm deep, 32mm high",['14k gold plating']
NAMPS0300,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/happy-birthday-balloon-t-bar-heart-bracelet-set/NAMPS0300.html,Happy Birthday Balloon T-Bar Heart Bracelet Set,"This festive bracelet set in pretty pastels represents the cheer and adventures we enjoy with family and friends on our birthdays. Go up, up and away with the Happy Birthday Hot Air Balloon Charm with transparent shaded",$78.00,,
PSA2652,collections,https://us.pandora.net/en/collections/bridgerton-and-pandora/bridgerton-friendship-splittable-charm-bracelet-set/PSA2652.html,Bridgerton Friendship Splittable Charm Bracelet Set,"Wear the traditions of Bridgerton, charm by charm. This set pairs a 14k gold-plated snake chain bracelet with a Bridgerton-inspired splittable butterfly and bee dangle. Made to wear or share with your closest confidante.",$333.00,,
NAMPS0744,exclusive-editions,https://us.pandora.net/en/exclusive-editions/my-pandora-two-tone-daisy-dangle-charm-bracelet-set/NAMPS0744.html,My Pandora Two Tone Daisy Dangle Charm Bracelet Set,"The My Pandora Two-Tone Daisy Dangle Charm Bracelet Set celebrates you with elegance. The 14k gold-plated bracelet features a heart clasp with daisies and a diamond, while the charm adds a personal, loving engraving.",$323.00,,
PSA2645,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/pandora-era-14k-gold-figaro-jewelry-set/PSA2645.html,Pandora Era 14K Gold Figaro Jewelry Set,"Timeless links, modern elegance. This three-piece solid 14k gold Figaro set of hoop earrings, chain necklace and chain bracelet brings effortless rhythm and elevated shine to every look.",,,
PSA2670,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/halo-heart-trilogy-jewelry-set/PSA2670.html,Halo Heart Trilogy Jewelry Set,"Love, multiplied. This three-piece sterling silver set pairs a halo heart necklace, matching stud earrings and a tennis bracelet with heart-shaped stones for a sparkling look that never fades.",$541.00,,
NAMPS0757,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/mother-daughter-dangle-charm-bracelet/NAMPS0757.html,Mother Daughter Dangle Charm Bracelet,"Celebrate your special bond with the Mother Daughter Dangle Charm Bracelet. Featuring a studded sterling silver chain and a splittable charm with heartfelt engravings, it’s a meaningful tribute to love.",$163.00,,
PSA2636,collections,https://us.pandora.net/en/collections/bridgerton-and-pandora/bridgerton-herbarium-bee-jewelry-set/PSA2636.html,Bridgerton Herbarium & Bee Jewelry Set,"Immerse yourself in the romance of Bridgerton with this three-piece set. Featuring a wisteria-themed choker, ring and tennis bracelet, it invites you to step into your own garden of delights.",$868.00,,
NAMPS0726,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/silver-sparkling-bow-bracelet-set/NAMPS0726.html,Silver Sparkling Bow Bracelet Set,"A timeless blend of elegance and sparkle, the Sparkling Bow Bracelet Set is the perfect addition to your jewelry collection. Featuring the sleek Moments Snake Chain Bracelet in sterling silver and the Sparkling Bow Charm",$75.00,,
NAMPS0754,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/disney-stitch-graduation-charm-bracelet/NAMPS0754.html,Disney Stitch Graduation Charm Bracelet,"Celebrate your achievement with the 2025 Graduation Stitch Charm Bracelet. Featuring Stitch on the clasp, engraved with ""Love at first bite,"" and holds up to 18 charms. Comes with the Disney Stitch Graduation Charm.",$128.00,,
