id,category,url,name,description,price,dimensions,materials
168421C03,rings,https://us.pandora.net/en/rings/promise-rings/elevated-pink-heart-ring/168421C03.html,Elevated Pink Heart Ring,"A classic, reimagined. This 14k gold-plated ring features a raised pink heart-shaped cubic zirconia framed by a pavé halo, echoing elegance with a modern glow.",$125.00,,"['Cubic zirconia', '14k gold plating']"
194371C01,rings,https://us.pandora.net/en/rings/statement-rings/cherry-blossom-ring/194371C01.html,Cherry Blossom Ring,"Spin into style. Our sterling silver cherry blossom ring features a rotating top flower with hand-applied enamel detailing. A playful, eye-catching design that moves with you.",$98.00,"5.6mm deep, 11.2mm high, 11.5mm wide","['Sterling silver', 'Enamel']"
PSA2701,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/cherry-blossom-full-collection-set/PSA2701.html,Cherry Blossom full collection set,"Live in full bloom with this sterling silver set. Pink enamel petals shine from matching earrings, ring, danlge charm and chain. Wear them together of separate for pretty pops of colour.",$349.00,,
198421C03,rings,https://us.pandora.net/en/rings/promise-rings/elevated-pink-heart-ring/198421C03.html,Elevated Pink Heart Ring,"Embrace a dash of cool-toned color with the Elevated Pink Heart Ring. Made of sterling silver, this ring centers on a raised heart-shaped pink stone surrounded by pavé. A row of pavé along the top half of the band adds a",$98.00,"5.1mm deep, 8.2mm high, 8.2mm wide","['Cubic zirconia', 'Sterling silver']"
161198C01,rings,https://us.pandora.net/en/rings/promise-rings/double-heart-sparkling-ring/161198C01.html,Double Heart Sparkling Ring,"Shining in 14k gold plating, our hand-finished Double Heart Sparkling Ring features two heart-shaped clear cubic zirconia nestled together at different angles to symbolize the feeling of love and closeness between a moth",$158.00,,"['Cubic zirconia', '14k gold plating']"
NAMPS0438,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/celestial-sparkling-sun-and-moon-ring-set/NAMPS0438.html,Celestial Sparkling Sun and Moon Ring Set,"Bring positivity and peace to your life with our Celestial Sparkling Sun and Moon Ring Set. Stackable with their counterpart, these rings can be worn by yourself or one given to someone special that brings you the balanc",$153.00,,
168421C01,rings,https://us.pandora.net/en/rings/elevated-heart-ring/168421C01.html,Elevated Heart Ring,Tell the world you believe in love with our Elevated Heart Ring. A heart-shaped clear cubic zirconia sits at the centre of the ring accented by sparkling pavé in the frame of the setting and along the front of the band.,$125.00,,"['Cubic zirconia', '14k gold plating']"
191198C01,rings,https://us.pandora.net/en/rings/statement-rings/double-heart-sparkling-ring/191198C01.html,Double Heart Sparkling Ring,The Double Heart Sparkling Ring features two heart-shaped clear cubic zirconia nestled together at different angles to symbolize the love between a mother and child. The ring shank is accented with a half row of pavé and,$125.00,,"['Cubic zirconia', 'Sterling silver']"
168421C03,rings,https://us.pandora.net/en/rings/promise-rings/elevated-pink-heart-ring/168421C03.html,Elevated Pink Heart Ring,"A classic, reimagined. This 14k gold-plated ring features a raised pink heart-shaped cubic zirconia framed by a pavé halo, echoing elegance with a modern glow.",$125.00,,"['Cubic zirconia', '14k gold plating']"
PSG2518,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/disney-frozens-queen-elsa-anna-ring-set/PSG2518.html,Disney Frozen's Queen Elsa & Anna Ring Set,"Do you want to build a ring stack? Show your love for Disney's Frozen with our ring duo. Queen Anna's ring radiates warmth in 14k gold plating, while Queen Elsa's ring shines in frosty sterling silver.",$243.00,,
NAMPS0683,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/rapunzel-sparkling-ring-set/NAMPS0683.html,Rapunzel Sparkling Ring Set,"Embrace your inner princess with the Rapunzel Sparkling Ring Set. The Sparkling Band Ring offers subtle, shimmering elegance with a row of clear cubic zirconia on a sleek 14k gold-plated band—perfect for everyday sparkle",$203.00,,
NAMPS0498,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/classic-sparkling-band-ring-set/NAMPS0498.html,Classic Sparkling Band Ring Set,"Unbox a forever stack with our Classic Sparkling Band Ring Set. Each piece features a row of pavé on half of the band and a sleek polished surface on the other half. Set for maximum shine, show your love in both sterling",$130.00,,
NAMPS0682,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/think-pink-ring-set/NAMPS0682.html,Think Pink Ring Set,Add a burst of fun and love to your collection with the Think Pink Ring Set. The Pink Chakra Heart Ring features a prong-set heart-shaped pink crystal surrounded by sparkling pink enamel and a touch of playfulness with i,$143.00,,
