id,category,url,name,description,price,dimensions,materials
763462C03,charms,https://us.pandora.net/en/charms/faceted-sea-aqua-blue-eternity-circle-dangle-charm/763462C03.html,Faceted Sea Aqua Blue Eternity Circle Dangle Charm,"Wear a symbol of forever, that's personal to you. This 14k gold-plated dangle charm is made up of a triple knotted circle that intertwines to resemble an infinity sign. The twist carries a faceted sea aqua blue man-made",$78.00,"9.3mm deep, 19.2mm high, 5.7mm wide","['Man-made crystal', '14k gold plating']"
763462C09,charms,https://us.pandora.net/en/charms/charms/faceted-blue-eternity-circle-dangle-charm/763462C09.html,Faceted Blue Eternity Circle Dangle Charm,"Wear a symbol of forever, that's personal to you. This 14k gold-plated dangle charm is made up of a triple knotted circle that intertwines to resemble an infinity sign. The twist carries a faceted princess blue man-made",$78.00,"9.3mm deep, 19.2mm high, 5.7mm wide","['Man-made crystal', '14k gold plating']"
763462C05,gifts,https://us.pandora.net/en/gifts/occasions/halloween/may-faceted-eternity-circle-dangle-charm/763462C05.html,May Faceted Eternity Circle Dangle Charm,"Wear a symbol of forever, that's personal to you. This 14k gold-plated dangle charm is made up of a triple knotted circle that intertwines to resemble an infinity sign. The twist carries a faceted royal green man-made cr",$78.00,"9.3mm deep, 19.2mm high, 5.7mm wide","['Man-made crystal', '14k gold plating']"
764084C01,charms,https://us.pandora.net/en/charms/crossing-arrows-oversized-medallion-charm/764084C01.html,Crossing Arrows Oversized Medallion Charm,A reminder that the best is yet to shine. This 14k gold-plated XL medallion features crossed arrows paired with the Latin inscription ‘AD MELIORA' — 'TOWARDS BETTER THINGS'. An invitation to wear the words you live by.,$125.00,"2.8mm deep, 30mm high, 30mm wide","['Cubic zirconia', '14k gold plating']"
352869C01,necklaces,https://us.pandora.net/en/necklaces/lab-grown-diamond-necklaces/pandora-talisman-14k-gold-lab-grown-diamond-moon-pendant/352869C01.html,Pandora Talisman 14k Gold Lab-grown Diamond Moon Pendant,Channel moon magic with the Pandora Talisman 14k Gold Lab-grown Diamond Moon Pendant. This lab-grown diamond pendant features a 0.25 carat lab-grown diamond in a curved setting shaped like the crescent moon. Opposite the,$388.00,"2.6mm deep, 10mm high, 5.3mm wide","['Lab-grown diamond', '14k gold']"
764088C01,charms,https://us.pandora.net/en/charms/cupids-medallion-charm/764088C01.html,Cupids Medallion Charm,"Embrace your destiny. Inspired by ancient coins and finished by hand, this mixed metal medallion features the engraved Latin message 'AMOR FATI', meaning 'LOVE OF FATE'. Wear as a reminder: what's meant to be will be.",$68.00,"2.3mm deep, 16mm high, 16mm wide","['Cubic zirconia', 'Sterling silver', '14k gold plating']"
763462C01,charms,https://us.pandora.net/en/charms/faceted-red-eternity-circle-dangle-charm/763462C01.html,Faceted Red Eternity Circle Dangle Charm,"Wear a symbol of forever, that's personal to you. This 14k gold-plated dangle charm is made up of a triple knotted circle that intertwines to resemble an infinity sign. The twist carries a faceted salsa red man-made crys",$78.00,"9.3mm deep, 19.2mm high, 5.7mm wide","['Man-made crystal', '14k gold plating']"
764081C01,charms,https://us.pandora.net/en/charms/crossing-arrows-medallion-charm/764081C01.html,Crossing Arrows Medallion Charm,A reminder that the best is yet to shine. This mixed metal medallion features crossed arrows paired with the Latin inscription ‘AD MELIORA’ — ‘TOWARDS BETTER THINGS’. Your personal invitation to wear the words you live.,$75.00,"2.6mm deep, 16mm high, 16mm wide","['Cubic zirconia', 'Sterling silver', '14k gold plating']"
764082C01,charms,https://us.pandora.net/en/charms/swallow-medallion-charm/764082C01.html,Swallow Medallion Charm,A symbol of strength. A promise of hope. This 14k gold-plated medallion features a swallow motif and the Latin inscription 'DUM VITA EST SPES EST' — a reminder that 'WHERE THERE IS LIFE THERE IS HOPE'.,$75.00,"2.5mm deep, 16mm high, 16mm wide","['Cubic zirconia', '14k gold plating']"
763388C01,earrings,https://us.pandora.net/en/earrings/charm-earrings/blue-engravable-mini-medallion-charm/763388C01.html,Blue Engravable Mini Medallion Charm,"Mini size, maximum impact. This 14k gold-plated charm is inspired by the lapis lazuli stone with its deep blue color and speckled effect, symbolizing transformation, growth and positivity.",$45.50,"2mm deep, 10.9mm high, 10.9mm wide","['Imitation lapis lazuli', '14k gold plating']"
